a & b & c & d
2019 & 0.6 & 3.2 & -0.2
2018 & 1.5 & 3.4 & -0.4
2017 & 2.5 & 3.8 & -0.4
2016 & 2.2 & 4.2 & -0.4
2015 & 1.7 & 4.6 & -0.4
2014 & 2.2 & 5.0 & -0.2
2013 & 0.4 & 5.2 & -0.2
2012 & 0.4 & 5.4 & -0.5
2011 & 3.9 & 5.9 & -1.0
2010 & 4.2 & 6.9 & -0.8
2009 & -5.7 & 7.7 & 0.3
2008 & 1.0 & 7.4 & -1.2
2007 & 3.0 & 8.6 & -1.4
2006 & 3.8 & 10.0 & -1.0
2005 & 0.7 & 11.0 & 0.7
2004 & 1.2 & 10.3 & 0.6
2003 & -0.7 & 9.7 & 1.1
2002 & -0.2 & 8.6 & 0.8
2001 & 1.7 & 7.8 & -0.2
2000 & 2.9 & 8.0 & -0.6
1999 & 1.9 & 8.6 & -0.8
1998 & 2.0 & 9.4 & -0.3
1997 & 1.8 & 9.7 & 0.8
1996 & 0.8 & 8.9 & 0.7
1995 & 1.5 & 8.2 & -0.2
1994 & 2.4 & 8.4 & 0.6
1993 & -1.0 & 7.8 & 1.2
1992 & 1.9 & 6.6 & 1.1
1991 & 5.0 & 5.5 & -0.7
1990 & 5.7 & 6.2 & -0.6
1989 & 3.9 & 6.8 & -0.9
1988 & 3.7 & 7.7 & -0.1
1987 & 1.5 & 7.8 & 0.0
1986 & 2.4 & 7.8 & -0.3
1985 & 2.2 & 8.1 & 0.0
1984 & 2.8 & 8.1 & 0.0
1983 & 1.6 & 8.1 & 1.4
1982 & -0.8 & 6.7 & 1.9
1981 & 0.1 & 4.8 & 1.4
