a & b & c & d
2019 & 2.3 & 3.7 & -0.2
2018 & 2.9 & 3.9 & -0.4
2017 & 2.4 & 4.3 & -0.6
2016 & 1.6 & 4.9 & -0.4
2015 & 2.9 & 5.3 & -0.9
2014 & 2.5 & 6.2 & -1.2
2013 & 1.8 & 7.4 & -0.7
2012 & 2.2 & 8.1 & -0.8
2011 & 1.6 & 8.9 & -0.7
2010 & 2.6 & 9.6 & 0.3
2009 & -2.5 & 9.3 & 3.5
2008 & -0.1 & 5.8 & 1.2
2007 & 1.9 & 4.6 & 0.0
2006 & 2.9 & 4.6 & -0.5
2005 & 3.5 & 5.1 & -0.4
2004 & 3.8 & 5.5 & -0.5
2003 & 2.9 & 6.0 & 0.2
2002 & 1.7 & 5.8 & 1.1
2001 & 1.0 & 4.7 & 0.7
2000 & 4.1 & 4.0 & -0.2
1999 & 4.8 & 4.2 & -0.3
1998 & 4.5 & 4.5 & -0.4
1997 & 4.4 & 4.9 & -0.5
1996 & 3.8 & 5.4 & -0.2
1995 & 2.7 & 5.6 & -0.5
1994 & 4.0 & 6.1 & -0.8
1993 & 2.8 & 6.9 & -0.6
1992 & 3.5 & 7.5 & 0.6
1991 & -0.1 & 6.9 & 1.3
1990 & 1.9 & 5.6 & 0.3
1989 & 3.7 & 5.3 & -0.2
1988 & 4.2 & 5.5 & -0.7
1987 & 3.5 & 6.2 & -0.8
1986 & 3.5 & 7.0 & -0.2
1985 & 4.2 & 7.2 & -0.3
1984 & 7.2 & 7.5 & -2.1
1983 & 4.6 & 9.6 & -0.1
1982 & -1.8 & 9.7 & 2.1
1981 & 2.5 & 7.6 & 0.4
